"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Tlm_Dos8_Eu";"25/09/2026 15:02:41";2622,2;1;46290626858,4491
"HMI<->PLC_Real{0}";"25/09/2026 15:02:41";1247;1;46290626858,4491
"Tlm_Bil21_Eu";"25/09/2026 15:02:42";1193,9;1;46290626870,081
"Tlm_Dos8_Eu";"25/09/2026 15:02:42";2607,7;1;46290626870,081
"HMI<->PLC_Real{0}";"25/09/2026 15:02:42";1247;1;46290626870,081
"Tlm_Bil21_Eu";"25/09/2026 15:02:43";1204,7;1;46290626881,713
"Tlm_Dos8_Eu";"25/09/2026 15:02:43";2598,4;1;46290626881,713
"HMI<->PLC_Real{0}";"25/09/2026 15:02:43";1247;1;46290626881,713
"Tlm_Bil21_Eu";"25/09/2026 15:02:44";1216,7;1;46290626893,3218
"Tlm_Dos8_Eu";"25/09/2026 15:02:44";2585,3;1;46290626893,3218
"HMI<->PLC_Real{0}";"25/09/2026 15:02:44";1247;1;46290626893,3218
"Tlm_Bil21_Eu";"25/09/2026 15:02:45";1228,5;1;46290626904,9306
"Tlm_Dos8_Eu";"25/09/2026 15:02:45";2573,2;1;46290626904,9306
"HMI<->PLC_Real{0}";"25/09/2026 15:02:45";1247;1;46290626904,9306
"Tlm_Bil21_Eu";"25/09/2026 15:02:46";1230,6;1;46290626916,5509
"Tlm_Dos8_Eu";"25/09/2026 15:02:46";2573,4;1;46290626916,5509
"HMI<->PLC_Real{0}";"25/09/2026 15:02:46";1247;1;46290626916,5509
"Tlm_Bil21_Eu";"25/09/2026 15:02:47";1233,8;1;46290626928,1944
"Tlm_Dos8_Eu";"25/09/2026 15:02:47";2571,3;1;46290626928,1944
"HMI<->PLC_Real{0}";"25/09/2026 15:02:47";1247;1;46290626928,1944
"Tlm_Bil21_Eu";"25/09/2026 15:02:48";1234,2;1;46290626939,7917
"Tlm_Dos8_Eu";"25/09/2026 15:02:48";2569,8;1;46290626939,7917
"HMI<->PLC_Real{0}";"25/09/2026 15:02:48";1247;1;46290626939,7917
"Tlm_Bil21_Eu";"25/09/2026 15:02:49";1235,2;1;46290626951,4005
"Tlm_Dos8_Eu";"25/09/2026 15:02:49";2568,5;1;46290626951,4005
"HMI<->PLC_Real{0}";"25/09/2026 15:02:49";1247;1;46290626951,4005
