"VarName";"TimeString";"VarValue";"Validity";"Time_ms"
"Tlm_Dos8_Eu";"25/09/2026 16:56:49";3101,2;1;46290706117,581
"HMI<->PLC_Real{0}";"25/09/2026 16:56:49";1247;1;46290706117,581
"Tlm_Bil21_Eu";"25/09/2026 16:56:50";1009,4;1;46290706130,0463
"Tlm_Dos8_Eu";"25/09/2026 16:56:50";3033,5;1;46290706130,0463
"HMI<->PLC_Real{0}";"25/09/2026 16:56:50";1247;1;46290706130,0463
"Tlm_Bil21_Eu";"25/09/2026 16:56:51";1065,1;1;46290706142,3958
"Tlm_Dos8_Eu";"25/09/2026 16:56:51";2996,2;1;46290706142,3958
"HMI<->PLC_Real{0}";"25/09/2026 16:56:51";1247;1;46290706142,3958
"Tlm_Bil21_Eu";"25/09/2026 16:56:52";1126,1;1;46290706154,7569
"Tlm_Dos8_Eu";"25/09/2026 16:56:52";2939;1;46290706154,7569
"HMI<->PLC_Real{0}";"25/09/2026 16:56:52";1247;1;46290706154,7569
"Tlm_Bil21_Eu";"25/09/2026 16:56:53";1160,3;1;46290706167,0255
"Tlm_Dos8_Eu";"25/09/2026 16:56:53";3016,7;1;46290706167,0255
"HMI<->PLC_Real{0}";"25/09/2026 16:56:53";1247;1;46290706167,0255
"Tlm_Bil21_Eu";"25/09/2026 16:56:54";1170,4;1;46290706179,3403
"Tlm_Dos8_Eu";"25/09/2026 16:56:54";3064,4;1;46290706179,3403
"HMI<->PLC_Real{0}";"25/09/2026 16:56:54";1247;1;46290706179,3403
"Tlm_Bil21_Eu";"25/09/2026 16:56:55";1181,4;1;46290706191,6319
"Tlm_Dos8_Eu";"25/09/2026 16:56:55";2937,1;1;46290706191,6319
"HMI<->PLC_Real{0}";"25/09/2026 16:56:55";1247;1;46290706191,6319
"Tlm_Bil21_Eu";"25/09/2026 16:56:56";1210,9;1;46290706203,9931
"Tlm_Dos8_Eu";"25/09/2026 16:56:56";2918,7;1;46290706203,9931
"HMI<->PLC_Real{0}";"25/09/2026 16:56:56";1247;1;46290706203,9931
"Tlm_Bil21_Eu";"25/09/2026 16:56:57";1217,4;1;46290706216,3657
"Tlm_Dos8_Eu";"25/09/2026 16:56:57";2906,9;1;46290706216,3657
"HMI<->PLC_Real{0}";"25/09/2026 16:56:57";1247;1;46290706216,3657
"Tlm_Bil21_Eu";"25/09/2026 16:56:58";1228,5;1;46290706228,7616
"Tlm_Dos8_Eu";"25/09/2026 16:56:58";2895,1;1;46290706228,7616
"HMI<->PLC_Real{0}";"25/09/2026 16:56:58";1247;1;46290706228,7616
